Respondent,DatabaseWorkedWith
1075,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
1079,SQL Server
1080,Redis
1080,MySQL
1080,PostgreSQL
1080,SQLite
1080,MariaDB
1080,Amazon RDS/Aurora
1083,Redis
1083,SQL Server
1085,PostgreSQL
1086,MongoDB
1086,MySQL
1089,MongoDB
1089,Redis
1089,MySQL
1089,PostgreSQL
1089,Elasticsearch
1091,MySQL
1091,PostgreSQL
1094,MongoDB
1094,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
1098,Redis
1098,SQL Server
1098,MySQL
1098,Amazon RDS/Aurora
1099,Redis
1100,MySQL
1102,MySQL
1102,PostgreSQL
1102,SQLite
1105,MongoDB
1105,MySQL
1105,PostgreSQL
1105,SQLite
1105,Oracle
1105,IBM Db2
1107,PostgreSQL
1109,SQL Server
1109,IBM Db2
1110,MongoDB
1110,MySQL
1110,Google BigQuery
1111,MySQL
1113,MySQL
1117,SQL Server
1118,MongoDB
1118,SQL Server
1118,MySQL
1118,Amazon RDS/Aurora
1118,Google Cloud Storage
1121,MongoDB
1121,Redis
1121,MySQL
